District,EAST,NORTH,Plot_names,Total_C_ha,Year,Zone,Mean_Temp_yr,Mean_D_R,Isothermality,Temp_Seasnoality,Max_Temp_Warmest_Month,Min_Temp_Coldest_Month,Temp_Range_yr,Mean_Temp_Wattest_Q,Mean_Temp_Driest_Q,Mean_Tem_Warmest_Q,Mean_Temp_Coldest_Q,Prec_yr,Prec_Wattest_Month,Prec_Driest_Month,Prec_Seasonality,Prec_Wattest_Q,Prec_Driest_Q,Prec_Warmest_Q,Prec_Coldest_Q
Khamti,664000,2714000,N2714000E664000,212.0847268,2014,46,265,114,48,2547,379,143,236,269,228,296,228,1227,233,1,88,655,11,187,11
Mawlaik,686000,2708000,N2708000E686000,242.7481393,2014,46,264,114,48,2560,378,141,237,268,227,294,227,1182,219,1,87,620,11,188,11
Mawlaik,684000,2708000,N2708000E684000,208.1809204,2014,46,265,114,48,2574,379,142,237,269,228,296,228,1195,223,1,88,630,11,187,11
Mawlaik,728000,2702000,N2702000E728000,271.7180696,2014,46,265,114,48,2560,379,142,237,269,228,295,228,1180,219,1,87,620,11,185,11
Khamti,732000,2702000,N2702000E732000,131.6925918,2014,46,265,114,48,2565,379,142,237,269,228,296,228,1174,217,1,87,615,11,187,11
Katha,771986,2697985,N2697985E771986,114.6250177,2015,46,265,114,48,2541,379,142,237,269,229,296,229,1160,213,1,87,606,11,185,11
Katha,221257,2696892,N2696892E221257,186.5176646,2015,47,266,114,48,2566,380,143,237,270,229,297,229,1178,218,1,87,618,12,184,12
Katha,790000,2676000,N2676000E790000,271.5219192,2015,46,265,114,47,2589,381,142,239,269,228,296,228,1141,206,1,86,590,11,182,11
Katha,788000,2676000,N2676000E788000,220.4804758,2015,46,265,114,47,2565,380,141,239,269,228,295,228,1147,206,1,86,592,11,182,11
Katha,224243,2696752,N2696752E224243,36.08432018,2015,47,264,114,47,2584,379,141,238,268,227,296,227,1187,218,1,88,621,12,184,12
Mawlaik,724000,2702000,N2702000E724000,278.701061,2014,46,265,114,48,2540,379,142,237,269,229,296,229,1195,222,1,88,629,12,185,12
Khamti,668000,2708000,N2708000E668000,225.3358024,2014,46,264,114,48,2538,378,141,237,268,227,294,227,1199,223,1,88,632,11,186,11
Khamti,666000,2708000,N2708000E666000,238.5991022,2014,46,265,114,48,2565,379,142,237,269,228,296,228,1208,226,1,88,639,11,186,11
Tamu,658000,2708000,N2708000E658000,141.4839707,2014,46,266,114,48,2556,380,144,236,270,230,297,230,1234,235,1,89,659,11,186,11
Mawlaik,722000,2702000,N2702000E722000,191.2467291,2014,46,264,114,47,2568,379,141,238,269,227,295,227,1214,225,1,88,639,12,184,12
Katha,784007,2707999,N2707999E784007,463.5627435,2015,46,267,114,48,2498,381,146,235,271,231,297,231,1275,245,1,90,688,12,184,12
